[2, [[0, 66.20825342510551], [1, 65.08981881853796], [2, 59.321113341048935], [3, 41.388472704505695], [4, 27.18575168473661], [5, 22.464408918433854], [6, 21.7351392991284], [7, 17.442352855333684], [8, 20.627696025570337], [9, 22.53235188242194], [10, 24.2814982613777], [11, 25.53284687167226], [12, 21.109254110898494], [13, 18.858518443109364], [14, 20.129993485933483], [15, 21.72284602931094], [16, 19.497721483717797], [17, 16.280415844048942]]]
[3, [[0, 67.04386088312334], [1, 64.38591800507766], [2, 56.35833259931633], [3, 41.11535721535237], [4, 29.174893140011417], [5, 24.62561509935111], [6, 21.969092058139726], [7, 22.873370189628798], [8, 22.768341683364735], [9, 19.14896545853466], [10, 23.220616066844535], [11, 23.978723894347784], [12, 25.02648246912316], [13, 22.948068989226527], [14, 21.70880636134458], [15, 23.05344355683941], [16, 19.80399181566019], [17, 22.439254886761844]]]
[4, [[0, 65.03709936910711], [1, 60.61522852678604], [2, 51.322392604661395], [3, 34.03473478291893], [4, 24.08638264381394], [5, 22.355412836403843], [6, 20.90052572310117], [7, 23.168015109855247], [8, 25.20760850154383], [9, 22.8996422926514], [10, 21.61146535458843], [11, 24.21921140285176], [12, 21.272365768392167], [13, 23.222838829665054], [14, 21.88894097948626], [15, 23.35883216411145], [16, 23.55152322784446], [17, 26.19512716982752]]]
[6, [[0, 53.215953614250445], [1, 50.497612478283074], [2, 45.06139177181224], [3, 34.285588113746144], [4, 25.218606095477003], [5, 23.794264171914783], [6, 24.137312154126906], [7, 25.99171198499288], [8, 25.998172485395347], [9, 26.960636815499385], [10, 27.102788602073872], [11, 31.554514911776664], [12, 29.614731007440533], [13, 29.522501538223636], [14, 26.903907577567587], [15, 25.930826214719584], [16, 22.101108463694178], [17, 25.258113923749875]]]
[9, [[0, 36.26129515832084], [1, 37.46587427254506], [2, 34.56214428262982], [3, 28.15993557127354], [4, 23.912785857247858], [5, 23.2430532191293], [6, 21.209501066855406], [7, 21.164304574565246], [8, 19.819142357670174], [9, 21.857011405090162], [10, 22.793113900584565], [11, 23.484519058699686], [12, 26.934744476330675], [13, 26.132234928295293], [14, 26.242039526814793], [15, 25.659016621230634], [16, 29.137719209338954], [17, 27.14486666152709]]]
[12, [[0, 28.814324754361287], [1, 30.14155869126147], [2, 29.28448660447802], [3, 27.981941895049026], [4, 26.153898400273835], [5, 25.050905423963965], [6, 24.220753993506143], [7, 24.840350784739268], [8, 24.241601016334904], [9, 24.9580553051196], [10, 25.42572661175789], [11, 26.733717357116305], [12, 27.410659954957442], [13, 29.01481025848863], [14, 28.750618550134984], [15, 28.241283669849302], [16, 30.33118339575965], [17, 29.86937885117329]]]
[18, [[0, 25.440272370512982], [1, 25.91265619588975], [2, 26.257427917771015], [3, 26.152780389275428], [4, 25.744917321522145], [5, 25.1490203739365], [6, 24.392233078878263], [7, 24.689433001559653], [8, 26.007197541238202], [9, 25.55817442034456], [10, 25.70590747879981], [11, 27.748535118055905], [12, 27.921267292444963], [13, 29.16325038139619], [14, 28.409783361983365], [15, 29.559641991946442], [16, 30.75220426575804], [17, 31.27104589406808]]]
[2, [[0, 66.11144670859758], [1, 64.97011304591189], [2, 60.491305073822005], [3, 47.114846109568404], [4, 36.15480851160703], [5, 28.13468028132048], [6, 24.46961545405307], [7, 22.553404388306458], [8, 19.83821621984934], [9, 17.105619119283425], [10, 17.00633469541964], [11, 17.47015978076079], [12, 16.245461016909353], [13, 17.23863056061341], [14, 17.835437817738658], [15, 15.758354945778992], [16, 16.26291378946856], [17, 15.18045468783509]]]
[3, [[0, 67.23587661550191], [1, 64.73519044637868], [2, 57.837416498634056], [3, 44.52244357526464], [4, 29.119529390595467], [5, 22.63023201120531], [6, 18.742581838537145], [7, 16.198087395162396], [8, 16.067934824252593], [9, 15.185827445531569], [10, 14.237390594168739], [11, 13.972104359468442], [12, 12.759566586285104], [13, 9.581375657585411], [14, 11.002149322035649], [15, 10.635696499802645], [16, 10.159734036431162], [17, 15.867733656647374]]]
[4, [[0, 65.0095550183428], [1, 60.549142369616284], [2, 47.54892655387766], [3, 36.39329113378457], [4, 27.003266002617217], [5, 24.8901850640682], [6, 25.69040290853258], [7, 26.66361706167961], [8, 25.44921414907137], [9, 24.59021947233288], [10, 21.0757552725964], [11, 19.20692143402324], [12, 23.131962064952546], [13, 20.153049680078365], [14, 23.719983166982352], [15, 23.022882978143226], [16, 23.809025305143418], [17, 23.9023957336281]]]
[6, [[0, 53.46655342435308], [1, 50.67548572791218], [2, 43.44551506414005], [3, 32.650766338320004], [4, 28.580022118753828], [5, 27.604347215524005], [6, 27.05696667201685], [7, 29.542319863196305], [8, 27.43789226817047], [9, 26.16979279735866], [10, 26.687604547911814], [11, 27.559205200502888], [12, 24.170146546907674], [13, 22.976473780619557], [14, 24.25331689136152], [15, 23.40626470963226], [16, 25.411338718248334], [17, 26.352764359099147]]]
